DATE,VIX,VXN,VXD
2019-01-02,23.22,30.09,23.06
2019-01-03,25.45,32.18,25.47
2019-01-04,21.38,28.57,22.16
2019-01-07,21.4,28.53,22.47
2019-01-08,20.47,27.66,21.17
2019-01-09,19.98,26.42,20.76
2019-01-10,19.5,25.91,19.64
2019-01-11,18.19,24.78,18.96
2019-01-14,19.07,25.74,19.3
2019-01-15,18.6,23.66,18.92
2019-01-16,19.04,24.07,18.94
2019-01-17,18.06,23.34,17.83
2019-01-18,17.8,21.89,17.59
2019-01-22,20.8,25.02,20.43
2019-01-23,19.52,24.5,19.48
2019-01-24,18.89,23.49,19.57
2019-01-25,17.42,21.78,18.75
2019-01-28,18.87,23.43,19.53
2019-01-29,19.13,23.86,19.31
2019-01-30,17.66,21.18,17.73
2019-01-31,16.57,20.24,17.11
2019-02-01,16.14,19.8,16.73
2019-02-04,15.73,19.68,16.26
2019-02-05,15.57,19.47,15.85
2019-02-06,15.38,19.74,15.54
2019-02-07,16.37,20.92,16.36
2019-02-08,15.72,20.04,15.84
2019-02-11,15.97,20.07,16.02
2019-02-12,15.43,18.69,15.29
2019-02-13,15.65,19,15.56
2019-02-14,16.22,19.02,15.82
2019-02-15,14.91,17.7,14.9
2019-02-19,14.88,18.1,15.12
2019-02-20,14.02,,14.5
2019-02-21,14.46,18.19,14.53
2019-02-22,13.51,16.95,14.11
2019-02-25,14.85,17.81,15.02
2019-02-26,15.17,18.11,15.19
2019-02-27,14.7,17.6,14.8
2019-02-28,14.78,17.17,14.77
2019-03-01,13.57,16.12,14.03
2019-03-04,14.63,17.36,15.51
2019-03-05,14.74,17.51,15.81
2019-03-06,15.74,18.23,15.96
2019-03-07,16.59,19.59,16.8
2019-03-08,16.05,19.12,16.18
2019-03-11,14.33,16.36,15.71
2019-03-12,13.77,15.76,15.14
2019-03-13,13.41,15.38,14.66
2019-03-14,13.5,15.65,14.41
2019-03-15,12.88,15.12,13.81
2019-03-18,13.1,16.18,14.03
2019-03-19,13.56,16.73,14.5
2019-03-20,13.91,16.64,14.88
2019-03-21,13.63,16.59,14.51
2019-03-22,16.48,19.83,17.43
2019-03-25,16.33,19.44,16.93
2019-03-26,14.68,18.63,15.66
2019-03-27,15.15,18.74,15.97
2019-03-28,14.43,17.99,15.31
2019-03-29,13.71,16.62,14.33
2019-04-01,13.4,16.31,13.9
2019-04-02,13.36,16.33,14.09
2019-04-03,13.74,16.62,14.27
2019-04-04,13.58,16.79,14.02
2019-04-05,12.82,16.17,13.61
2019-04-08,13.18,16.82,14.4
2019-04-09,14.28,17.65,15
2019-04-10,13.3,16.76,14.35
2019-04-11,13.02,16.66,14.28
2019-04-12,12.01,15.63,13.39
2019-04-15,12.32,15.93,13.25
2019-04-16,12.18,15.88,13.16
2019-04-17,12.6,15.86,13.16
2019-04-18,12.09,15.15,12.64
2019-04-22,12.42,15.74,13.07
2019-04-23,12.28,16.15,12.94
2019-04-24,13.14,16.67,13.48
2019-04-25,13.25,16.49,13.54
2019-04-26,12.73,15.79,13.2
2019-04-29,13.11,16.44,13.5
2019-04-30,13.12,16.6,13.56
2019-05-01,14.8,17.93,14.64
2019-05-02,14.42,17.62,14.71
2019-05-03,12.87,15.98,13.77
2019-05-06,15.44,18.7,15.63
2019-05-07,19.32,22.86,19.55
2019-05-08,19.4,22.52,18.89
2019-05-09,19.1,22.03,19.47
2019-05-10,16.04,19.1,16.76
2019-05-13,20.55,25.25,20.66
2019-05-14,18.06,22.23,18.29
2019-05-15,16.44,19.92,16.72
2019-05-16,15.29,18.4,15.43
2019-05-17,15.96,19.39,15.93
2019-05-20,16.31,21.64,16.57
2019-05-21,14.95,19.58,15.06
2019-05-22,14.75,19.84,14.85
2019-05-23,16.92,21.31,17.33
2019-05-24,15.85,20.63,16.05
2019-05-28,17.5,21.83,17.6
2019-05-29,17.9,22.23,18.3
2019-05-30,17.3,21.68,17.5
2019-05-31,18.71,23.23,19.24
2019-06-03,18.86,24.22,18.83
2019-06-04,16.97,21.49,17.18
2019-06-05,16.09,20.87,16.35
2019-06-06,15.93,20.32,15.68
2019-06-07,16.3,19.93,15.54
2019-06-10,15.94,19.98,15.63
2019-06-11,15.99,20.22,15.68
2019-06-12,15.91,20.58,15.74
2019-06-13,15.82,20.03,15.41
2019-06-14,15.28,19.85,15.14
2019-06-17,15.35,20.04,15.08
2019-06-18,15.15,19.51,14.77
2019-06-19,14.33,18.8,14.07
2019-06-20,14.75,18.71,14.15
2019-06-21,15.4,19.18,14.63
2019-06-24,15.26,19.46,15.04
2019-06-25,16.28,20.77,15.85
2019-06-26,16.21,20.46,15.87
2019-06-27,15.82,20.07,15.81
2019-06-28,15.08,19.76,15.32
2019-07-01,14.06,17.64,13.94
2019-07-02,12.93,16.29,12.89
2019-07-03,12.57,16.15,12.9
2019-07-05,13.28,16.47,
2019-07-08,13.96,17.77,13.66
2019-07-09,14.09,17.42,13.81
2019-07-10,13.03,16.43,13.08
2019-07-11,12.93,16.64,12.76
2019-07-12,12.39,16.25,12.44
2019-07-15,12.68,16.22,12.55
2019-07-16,12.86,16.66,13.13
2019-07-17,13.97,18,13.52
2019-07-18,13.53,17.01,13.67
2019-07-19,14.45,17.69,13.8
2019-07-22,13.53,17.07,13.71
2019-07-23,12.61,16.07,13.25
2019-07-24,12.07,15.41,13.08
2019-07-25,12.74,16.02,13.68
2019-07-26,12.16,15.42,13.38
2019-07-29,12.83,16.35,13.63
2019-07-30,13.94,17.53,14.22
2019-07-31,16.12,18.78,15.32
2019-08-01,17.87,21.06,17.84
2019-08-02,17.61,21.37,18.11
2019-08-05,24.59,27.56,23.23
2019-08-06,20.17,24.27,19.73
2019-08-07,19.49,23.47,19.5
2019-08-08,16.91,21.14,17.22
2019-08-09,17.97,21.77,17.95
2019-08-12,21.09,25.18,20.8
2019-08-13,17.52,21.82,17.65
2019-08-14,22.1,26.38,22.11
2019-08-15,21.18,24.79,21.19
2019-08-16,18.47,21.51,18.87
2019-08-19,16.88,20.43,17.39
2019-08-20,17.5,21.27,17.9
2019-08-21,15.8,19.81,16.02
2019-08-22,16.68,20.83,17.13
2019-08-23,19.87,23.66,20.58
2019-08-26,19.32,23.24,19.81
2019-08-27,20.31,24.11,20.44
2019-08-28,19.35,23.12,19.46
2019-08-29,17.88,21.25,17.67
2019-08-30,18.98,22.39,18.41
2019-09-03,19.66,23.37,19.57
2019-09-04,17.33,21.44,18.02
2019-09-05,16.27,19.91,17
2019-09-06,15,18.82,15.75
2019-09-09,15.27,19.42,15.95
2019-09-10,15.2,19.57,15.38
2019-09-11,14.61,18.6,14.13
2019-09-12,14.22,17.88,13.96
2019-09-13,13.74,18.13,13.75
2019-09-16,14.67,19.04,14.59
2019-09-17,14.44,18.58,14.82
2019-09-18,13.95,18.04,14.18
2019-09-19,14.05,17.55,13.97
2019-09-20,15.32,19.11,15.88
2019-09-23,14.91,18.64,16.4
2019-09-24,17.05,20.45,16.91
2019-09-25,15.96,19.14,15.98
2019-09-26,16.07,19.41,16.45
2019-09-27,17.22,20.89,17.33
2019-09-30,16.24,20.03,16.36
2019-10-01,18.56,21.95,18.66
2019-10-02,20.56,23.71,20.11
2019-10-03,19.12,22.33,18.94
2019-10-04,17.04,20.24,16.71
2019-10-07,17.86,21.63,17.34
2019-10-08,20.28,23.4,19.31
2019-10-09,18.64,21.88,17.92
2019-10-10,17.57,21,17.33
2019-10-11,15.58,19.44,15.75
2019-10-14,14.57,18.61,14.5
2019-10-15,13.54,17.18,13.31
2019-10-16,13.68,17.58,13.49
2019-10-17,13.79,17.39,13.43
2019-10-18,14.25,17.82,14.57
2019-10-21,14,17.39,14.62
2019-10-22,14.46,18.34,14.52
2019-10-23,14.01,17.78,14.14
2019-10-24,13.71,17.35,13.71
2019-10-25,12.65,16.17,13.36
2019-10-28,13.11,16.81,13.64
2019-10-29,13.2,17.47,14.17
2019-10-30,12.33,16.71,13.52
2019-10-31,13.22,17.36,14.09
2019-11-01,12.3,16.27,12.94
2019-11-04,12.83,16.56,13.26
2019-11-05,13.1,17.08,13.43
2019-11-06,12.62,16.45,13.44
2019-11-07,12.73,16.66,13.08
2019-11-08,12.07,16.17,13.12
2019-11-11,12.69,16.04,12.67
2019-11-12,12.68,15.86,12.66
2019-11-13,13,16.24,12.92
2019-11-14,13.05,15.85,13.14
2019-11-15,12.05,14.57,11.88
2019-11-18,12.46,14.94,13.08
2019-11-19,12.86,15.25,12.81
2019-11-20,12.78,15.61,13.19
2019-11-21,13.13,16.07,13.53
2019-11-22,12.34,15.6,12.69
2019-11-25,11.87,15.08,12.46
2019-11-26,11.54,14.78,12.16
2019-11-27,11.75,14.86,12.36
2019-11-29,12.62,15.84,13.48
2019-12-02,14.91,18.07,15.11
2019-12-03,15.96,19.16,16.39
2019-12-04,14.8,18.33,15.34
2019-12-05,14.52,17.97,14.79
2019-12-06,13.62,16.44,13.81
2019-12-09,15.86,18.15,14.67
2019-12-10,15.68,18.02,14.92
2019-12-11,14.99,17.41,14.55
2019-12-12,13.94,16.55,13.77
2019-12-13,12.63,15.09,12.28
2019-12-16,12.14,14.02,11.64
2019-12-17,12.29,14.42,11.48
2019-12-18,12.58,14.75,11.61
2019-12-19,12.5,14.42,11.48
2019-12-20,12.51,14.47,11.63
2019-12-23,12.61,15.16,12.22
2019-12-24,12.67,15.14,12.06
2019-12-26,12.65,15.07,11.97
2019-12-27,13.43,16.36,12.64
2019-12-30,14.82,17.9,14.08
2019-12-31,13.78,16.89,13.29
2020-01-02,12.47,16,12.27
2020-01-03,14.02,16.95,14.09
2020-01-06,13.85,17.19,14.04
2020-01-07,13.79,17.15,13.96
2020-01-08,13.45,16.93,13.44
2020-01-09,12.54,16.04,12.86
2020-01-10,12.56,16.48,13.49
2020-01-13,12.32,15.57,12.04
2020-01-14,12.39,15.83,12.09
2020-01-15,12.42,15.54,11.82
2020-01-16,12.32,14.95,11.46
2020-01-17,12.1,14.97,11.9
2020-01-21,12.85,16.22,13.28
2020-01-22,12.91,16.49,13.69
2020-01-23,12.98,16.23,13.39
2020-01-24,14.56,18.07,14.8
2020-01-27,18.23,21.46,17.58
2020-01-28,16.28,19.61,15.87
2020-01-29,16.39,19.57,15.73
2020-01-30,15.49,17.75,15.35
2020-01-31,18.84,21.33,17.95
2020-02-03,17.97,20.4,17.47
2020-02-04,16.05,18.45,15.72
2020-02-05,15.15,18.52,14.82
2020-02-06,14.96,18.41,14.56
2020-02-07,15.47,19.42,15.4
2020-02-10,15.04,19.31,15.03
2020-02-11,15.18,19.66,15.19
2020-02-12,13.74,18.04,14.05
2020-02-13,14.15,18.46,14.64
2020-02-14,13.68,17.95,14.3
2020-02-18,14.83,19.12,15.24
2020-02-19,14.38,18.58,14.88
2020-02-20,15.56,20.33,16.26
2020-02-21,17.08,22.46,17.7
2020-02-24,25.03,29.23,24.03
2020-02-25,27.85,31.03,27.49
2020-02-26,27.56,30.38,27.01
2020-02-27,39.16,41,37.65
2020-02-28,40.11,43.13,42.67
2020-03-02,33.42,35.1,34.19
2020-03-03,36.82,39.33,37.29
2020-03-04,31.99,33.54,31.33
2020-03-05,39.62,41.4,38.65
2020-03-06,41.94,43.97,42.3
2020-03-09,54.46,53.68,52.03
2020-03-10,47.3,47.43,47.78
2020-03-11,53.9,50.7,53.63
2020-03-12,75.47,67.83,64.74
2020-03-13,57.83,51.84,55.14
2020-03-16,82.69,80.08,63.81
2020-03-17,75.91,71.55,61.93
2020-03-18,76.45,74.22,67.07
2020-03-19,72,69.12,63.31
2020-03-20,66.04,63.85,54.26
2020-03-23,61.59,58.36,50.49
2020-03-24,61.67,56.95,58.38
2020-03-25,63.95,60.99,65.22
2020-03-26,61,57.6,61.33
2020-03-27,65.54,61.38,63.51
2020-03-30,57.08,55.04,59.72
2020-03-31,53.54,51.29,54.6
2020-04-01,57.06,54.29,55.8
2020-04-02,50.91,48.91,52.15
2020-04-03,46.8,44.87,48.49
2020-04-06,45.24,42.93,45.97
2020-04-07,46.7,44.69,48.15
2020-04-08,43.35,42.34,46.31
2020-04-09,41.67,41.36,46.03
2020-04-13,41.17,41.34,46.05
2020-04-14,37.76,38.33,41.32
2020-04-15,40.84,40.85,43.83
2020-04-16,40.11,40.36,44.19
2020-04-17,38.15,38.37,41.65
2020-04-20,43.83,43.85,45.54
2020-04-21,45.41,45.37,48
2020-04-22,41.98,42.37,44.77
2020-04-23,41.38,41.66,43.67
2020-04-24,35.93,36.5,38.99
2020-04-27,33.29,35.26,36.76
2020-04-28,33.57,36.61,36.8
2020-04-29,31.23,32.85,34.31
2020-04-30,34.15,35.28,36.55
2020-05-01,37.19,37.76,38.46
2020-05-04,35.97,36.86,37.54
2020-05-05,33.61,35.37,35.08
2020-05-06,34.12,35.6,35.37
2020-05-07,31.44,33.58,33.64
2020-05-08,27.98,30.64,30.91
2020-05-11,27.57,28.82,31.98
2020-05-12,33.04,33.3,35.71
2020-05-13,35.28,36.12,38.19
2020-05-14,32.61,33.79,35.89
2020-05-15,31.89,33.49,34.86
2020-05-18,29.3,30.22,32.65
2020-05-19,30.53,30.74,33.29
2020-05-20,27.99,29.12,30.62
2020-05-21,29.53,30.73,30.92
2020-05-22,28.16,29.36,29.89
2020-05-26,28.01,29.42,29.63
2020-05-27,27.62,29.52,28.85
2020-05-28,28.59,29.68,30.39
2020-05-29,27.51,27.96,28.73
2020-06-01,28.23,28.99,29.43
2020-06-02,26.84,27.68,28.45
2020-06-03,25.66,27.45,27.25
2020-06-04,25.81,27.43,26.7
2020-06-05,24.52,25.53,26.55
2020-06-08,25.81,26.8,28.16
2020-06-09,27.57,28.7,29.47
2020-06-10,27.57,29.32,30.35
2020-06-11,40.79,36.81,40.79
2020-06-12,36.09,35.49,39.18
2020-06-15,34.4,33.67,36.35
2020-06-16,33.67,32.69,35.76
2020-06-17,33.47,32.91,35.6
2020-06-18,32.94,31.57,34.96
2020-06-19,35.12,32.54,36.3
2020-06-22,31.77,31.38,34.7
2020-06-23,31.37,31.23,33.64
2020-06-24,33.84,33.58,35.38
2020-06-25,32.22,31.81,33.48
2020-06-26,34.73,33.81,35.71
2020-06-29,31.78,32.3,33.13
2020-06-30,30.43,30.75,31.14
2020-07-01,28.62,29.51,30.81
2020-07-02,27.68,28.6,28.59
2020-07-06,27.94,30.2,29.04
2020-07-07,29.43,31.72,30.68
2020-07-08,28.08,31.05,29.62
2020-07-09,29.26,32.68,31.37
2020-07-10,27.29,32.02,29.46
2020-07-13,32.19,37.6,33.12
2020-07-14,29.52,37.61,31.34
2020-07-15,27.76,35.84,30.1
2020-07-16,28,34.42,29.83
2020-07-17,25.68,30.77,27.93
2020-07-20,24.46,30.91,26.72
2020-07-21,24.84,30.91,26.79
2020-07-22,24.32,30.46,26.46
2020-07-23,26.08,32.75,27.08
2020-07-24,25.84,32.61,26.79
2020-07-27,24.74,31.55,26.09
2020-07-28,25.44,31.83,25.81
2020-07-29,24.1,30.13,24.85
2020-07-30,24.76,30.2,25.37
2020-07-31,24.46,27.93,23.87
2020-08-03,24.28,29.27,24.16
2020-08-04,23.76,29.12,23.16
2020-08-05,22.99,28.5,22.88
2020-08-06,22.65,28.53,22.85
2020-08-07,22.21,29.76,23.34
2020-08-10,22.13,29.86,23.35
2020-08-11,24.03,31.87,25.41
2020-08-12,22.28,30.16,23.97
2020-08-13,22.13,29.84,23.88
2020-08-14,22.05,29.15,23.5
2020-08-17,21.35,27.73,22.57
2020-08-18,21.51,26.9,22.25
2020-08-19,22.54,28.88,22.93
2020-08-20,22.72,28.44,22.8
2020-08-21,22.54,28.62,21.83
2020-08-24,22.37,29.83,22.68
2020-08-25,22.03,29.11,22.36
2020-08-26,23.27,32.1,23.4
2020-08-27,24.47,33.32,24.43
2020-08-28,22.96,32.8,23.84
2020-08-31,26.41,34.55,26.01
2020-09-01,26.12,34.67,26.2
2020-09-02,26.57,36.8,26.64
2020-09-03,33.6,42.09,31.47
2020-09-04,30.75,41.74,29.43
2020-09-08,31.46,41.02,30.15
2020-09-09,28.81,38.25,27.7
2020-09-10,29.71,37.92,27.62
2020-09-11,26.87,35.27,26
2020-09-14,25.85,33.56,24.2
2020-09-15,25.59,33.79,23.6
2020-09-16,26.04,35.48,22.57
2020-09-17,26.46,36.27,23.42
2020-09-18,25.83,36.04,23.53
2020-09-21,27.78,36.43,26.46
2020-09-22,26.86,35.24,25.75
2020-09-23,28.58,37.25,27.39
2020-09-24,28.51,36.99,27.4
2020-09-25,26.38,34.93,26.39
2020-09-28,26.19,34.66,26.25
2020-09-29,26.27,35.25,26.69
2020-09-30,26.37,35.42,26.7
2020-10-01,26.7,34.99,27.18
2020-10-02,27.63,36.44,27.59
2020-10-05,27.96,35.67,27.46
2020-10-06,29.48,36.67,28.01
2020-10-07,28.06,35.61,26.71
2020-10-08,26.36,34.43,25.86
2020-10-09,25,32.6,24.26
2020-10-12,25.07,33.44,24.06
2020-10-13,26.07,34.48,25.05
2020-10-14,26.4,34.04,25.21
2020-10-15,26.97,34.54,25.46
2020-10-16,27.41,,
2020-10-19,29.18,36.14,27.4
2020-10-20,29.35,35.25,27.71
2020-10-21,28.65,35.08,27.18
2020-10-22,28.11,34.28,26.33
2020-10-23,27.55,33.45,25.56
2020-10-26,32.46,37.41,30.18
2020-10-27,33.35,36.56,30.3
2020-10-28,40.28,43.39,35.48
2020-10-29,37.59,40.08,34.93
2020-10-30,38.02,41.3,35.18
2020-11-02,37.13,40.9,34.06
2020-11-03,35.55,38.38,32.56
2020-11-04,29.57,33.36,27.43
2020-11-05,27.58,32.82,25.97
2020-11-06,24.86,30.01,25.07
2020-11-09,25.75,31.32,24.99
2020-11-10,24.8,32.53,25.29
2020-11-11,23.45,30.29,24.11
2020-11-12,25.35,30.91,25.52
2020-11-13,23.1,29.03,23.96
2020-11-16,22.45,27.37,23.26
2020-11-17,22.71,27.31,22.86
2020-11-18,23.84,27.47,23.47
2020-11-19,23.11,26.81,22.21
2020-11-20,23.7,26.91,22.69
2020-11-23,22.66,26.64,22.3
2020-11-24,21.64,25.99,22.22
2020-11-25,21.25,25.69,22.35
2020-11-27,20.84,26.12,22.27
2020-11-30,20.57,26.68,22.88
2020-12-01,20.77,27.41,22.95
2020-12-02,21.17,27.55,23.04
2020-12-03,21.28,27.39,22.21
2020-12-04,20.79,27.02,21.21
2020-12-07,21.3,27.2,21.94
2020-12-08,20.68,26.08,21.55
2020-12-09,22.27,29.32,21.96
2020-12-10,22.52,29.15,21.78
2020-12-11,23.31,29,22.58
2020-12-14,24.72,29.44,23.07
2020-12-15,22.89,28.1,21.68
2020-12-16,22.5,27.85,21.88
2020-12-17,21.93,27.04,20.41
2020-12-18,21.57,26.91,20.05
2020-12-21,25.16,28.35,22.75
2020-12-22,24.23,27.94,22.8
2020-12-23,23.31,27.33,21.29
2020-12-24,21.53,25.94,20.49
2020-12-28,21.7,25.91,20.12
2020-12-29,23.08,26.82,20.93
2020-12-30,22.77,26.29,20.71
2020-12-31,22.75,26.93,20.53
2021-01-04,26.97,30.13,24.01
2021-01-05,25.34,28.42,23.73
2021-01-06,25.07,29.27,23.79
